latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price
42.32152084,-71.10741009,Apartment,3,1,1,1,29.00
42.30450198,-71.11147205,Apartment,2,1,1,1,68.00
42.31968702,-71.11296925,Apartment,6,1,3,5,300.00
42.31261825,-71.10620542,House,1,2,1,1,50.00
42.31246587,-71.10751981,Condominium,2,1,1,1,119.00
42.29050284,-71.11642164,Apartment,2,1,1,1,46.00
42.31642341,-71.10502709,Condominium,6,1,2,3,295.00
42.32274731,-71.11033371,Apartment,5,1,2,3,130.00
42.31277909,-71.10974082,Condominium,6,2,2,2,180.00
42.31102328,-71.11899339,Apartment,7,1,2,4,300.00
42.30354529,-71.10589216,Apartment,5,1,2,3,200.00
42.31576896,-71.11289367,Apartment,2,1,1,1,136.00
42.30401959,-71.10493709,Apartment,2,1,1,1,100.00
42.31779833,-71.1040344,House,5,1,1,2,88.00
42.32411924,-71.10669945,House,3,1,1,2,95.00
42.30957368,-71.10629241,House,2,1.5,1,1,135.00
42.3023644,-71.11490982,House,2,1,1,1,135.00
42.31167891,-71.10613378,Bed & Breakfast,2,1,1,1,75.00
42.3177898,-71.10489693,House,5,1,2,4,189.00
42.30509466,-71.11347198,House,2,1,1,1,75.00
42.30979784,-71.10174213,Apartment,2,1,1,1,55.00
42.30514213,-71.10732686,Apartment,2,1,1,1,125.00
42.29982378,-71.1125722,Condominium,1,1,1,1,88.00
42.31408312,-71.09973817,Apartment,1,1,1,1,72.00
42.30731115,-71.10339731,Apartment,1,1,1,1,22.00
42.2909887,-71.1127371,House,2,1,1,1,90.00
42.31158243,-71.11170823,Apartment,2,2,1,1,150.00
42.30866054,-71.10156432,Apartment,2,1,1,1,82.00
42.32137451,-71.1060596,House,2,1,1,1,84.00
42.30516878,-71.11290753,Apartment,4,1,2,2,160.00
42.32002043,-71.10459796,Apartment,4,1.5,2,2,110.00
42.3069432,-71.11401575,Apartment,4,1,2,2,150.00
42.29366808,-71.11789414,Condominium,2,1,1,1,80.00
42.31881359,-71.10321897,Apartment,5,1,2,3,225.00
42.30601751,-71.10953839,Apartment,2,1.5,1,1,65.00
42.31885965,-71.11451513,House,8,1,3,4,275.00
42.31161875,-71.10910186,House,8,2.5,3,3,300.00
42.30189019,-71.12908358,House,5,1.5,3,3,185.00
42.31947423,-71.10981262,Apartment,4,1,1,1,175.00
42.31187523,-71.10988286,Apartment,5,1,2,3,175.00
42.29552807,-71.11929019,Apartment,2,1,1,2,75.00
42.30963229,-71.11621848,Apartment,2,1,1,1,60.00
42.31321248,-71.10808728,Apartment,3,2,2,2,100.00
42.32139007,-71.1088521,Townhouse,1,1,1,1,75.00
42.31653899,-71.1043184,Townhouse,2,1,0,1,94.00
42.3112337,-71.10343443,Townhouse,2,1,1,1,85.00
42.30512601,-71.11423328,Apartment,2,1,1,1,83.00
42.31039502,-71.11838026,Apartment,2,1,1,1,75.00
42.30829329,-71.12399112,Apartment,6,2,3,3,168.00
42.29444215,-71.11994538,Apartment,2,1,1,1,60.00
42.31747806,-71.10819474,Apartment,2,1,1,1,135.00
42.31299709,-71.10930512,Bed & Breakfast,2,1,1,1,119.00
42.31633721,-71.10285592,Condominium,5,1,2,2,275.00
42.28801846,-71.11367911,House,2,1,1,1,130.00
42.31171249,-71.11818369,House,10,3.5,4,7,750.00
42.31798894,-71.10988165,Apartment,3,1,2,3,160.00
42.32443218,-71.10789033,Condominium,1,1,1,1,65.00
42.31089358,-71.12243916,House,4,1,1,2,77.00
42.31713375,-71.10965966,House,2,1,1,1,71.00
42.30469509,-71.10730425,Townhouse,2,1.5,1,1,200.00
42.3234374,-71.11397537,Apartment,2,1,1,1,55.00
42.32191936,-71.11047179,Apartment,2,2,1,1,95.00
42.30931242,-71.11711989,Apartment,4,1,2,2,220.00
42.30089711,-71.11196778,House,2,1,1,1,54.00
42.3077874,-71.11077967,Apartment,3,1,1,2,72.00
42.30598913,-71.10334861,Apartment,2,1,1,1,70.00
42.31337883,-71.11718909,House,4,1,2,3,135.00
42.31406332,-71.10544008,House,6,1.5,3,3,300.00
42.31547795,-71.09929421,Apartment,2,1,1,1,110.00
42.31254083,-71.1224635,House,2,1,1,1,70.00
42.30640989,-71.11151039,House,1,1,1,1,75.00
42.32512116,-71.11292465,Apartment,2,1,1,1,70.00
42.31772906,-71.10019199,Condominium,2,1,1,1,88.00
42.31437713,-71.09951456,House,12,2.5,4,7,480.00
42.30581336,-71.11259651,House,9,2.5,4,5,550.00
42.30503422,-71.10333144,Apartment,4,1,2,2,180.00
42.30889797,-71.11868977,House,5,3.5,4,4,325.00
42.31978117,-71.10467022,Apartment,1,1,1,1,65.00
42.30826236,-71.11065977,Apartment,4,1,3,4,290.00
42.29128816,-71.11396006,House,4,2,4,3,159.00
42.30920004,-71.11836466,House,2,1,1,1,200.00
42.31569391,-71.10620875,House,2,1,1,1,95.00
42.32002036,-71.10745885,Condominium,2,1,1,1,65.00
42.32489128,-71.11446554,Apartment,3,1,1,1,99.00
42.30776797,-71.11625789,House,3,1,1,2,93.00
42.30703672,-71.10336802,House,10,2.5,4,6,500.00
42.31008194,-71.1196777,Apartment,4,1,2,2,295.00
42.31359161,-71.12262105,House,11,3.5,5,5,450.00
42.31153116,-71.09896776,House,4,1.5,2,2,150.00
42.32498597,-71.10549496,Apartment,4,1,2,1,95.00
42.30725436,-71.11424734,Condominium,4,1,2,2,150.00
42.31850121,-71.11451134,Apartment,8,2,4,4,399.00
42.31784765,-71.10720557,House,2,1,1,1,71.00
42.30466019,-71.10889251,Apartment,6,1,3,3,500.00
42.31257952,-71.10784329,Bed & Breakfast,2,1,1,1,70.00
42.30617229,-71.10670344,Apartment,2,1,1,1,125.00
42.31373708,-71.11633699,Bed & Breakfast,2,1,1,1,85.00
42.3173004,-71.10491021,Apartment,2,1,1,1,61.00
42.31263932,-71.10927886,House,6,2,2,4,250.00
42.31161782,-71.10385273,House,2,1,1,1,56.00
42.32173185,-71.11186968,Apartment,3,1,1,2,200.00
42.30595039,-71.10489325,Apartment,6,1,2,3,220.00
42.31795477,-71.10020426,Bed & Breakfast,1,1.5,1,1,80.00
42.32141475,-71.10676417,Bed & Breakfast,2,1,1,1,60.00
42.31143796,-71.11864462,House,2,1,1,2,125.00
42.32123277,-71.11568853,House,5,2,3,3,500.00
42.31222003,-71.11712569,Apartment,2,1,1,1,149.00
42.32136495,-71.11323106,Apartment,2,1,1,1,65.00
42.31446165,-71.11391763,Apartment,2,1,0,1,99.00
42.31858054,-71.10678002,Apartment,3,1,1,2,67.00
42.31967562,-71.10497281,House,5,1.5,2,4,180.00
42.31403582,-71.10777893,Apartment,3,2,2,2,170.00
42.31086194,-71.09922327,House,4,1,2,2,115.00
42.31175862,-71.11183649,House,4,2,2,3,235.00
42.31857757,-71.1062778,House,2,1,1,1,89.00
42.29731101,-71.11120263,House,2,1,1,1,110.00
42.30906275,-71.1143544,Apartment,2,1,1,1,84.00
42.30624803,-71.10890837,Apartment,2,1,1,1,125.00
42.30947825,-71.09930721,Apartment,3,1,1,1,130.00
42.29661804,-71.11369881,Apartment,1,1,1,1,65.00
42.31516062,-71.10606961,Townhouse,2,1,1,1,86.00
42.31161779,-71.10492935,Apartment,4,1,1,1,75.00
42.30956049,-71.1034218,Apartment,6,1,3,2,255.00
42.31732135,-71.10833825,House,3,1,1,1,145.00
42.31589871,-71.10745634,House,5,1.5,3,4,199.00
42.31000894,-71.10176365,Apartment,2,1,1,1,91.00
42.31314951,-71.10478823,House,2,1,1,1,81.00
42.32161991,-71.10550968,Apartment,2,1,1,1,60.00
42.31778586,-71.10513644,House,3,1,1,2,99.00
42.29847144,-71.11065809,Condominium,1,1,1,1,88.00
42.30814199,-71.11793665,House,2,1,1,1,225.00
42.29244338,-71.11790286,Apartment,2,1,1,1,50.00
42.31121242,-71.11191179,Condominium,3,2,1,1,225.00
42.29856687,-71.11239522,Townhouse,1,1,1,1,48.00
42.31158194,-71.10412649,Apartment,2,1,1,1,37.00
42.3088519,-71.11643176,House,2,1,1,1,85.00
42.31557614,-71.11305745,Apartment,12,1,4,1,525.00
42.31923916,-71.10624049,Apartment,2,1,1,1,100.00
42.32451389,-71.1054062,House,2,1.5,1,1,75.00
42.29870858,-71.11250952,Apartment,2,1,1,1,25.00
42.30841064,-71.10132043,Apartment,1,1,1,1,50.00
42.31263002,-71.10439934,House,2,1,1,1,49.00
42.31721558,-71.10796613,House,4,1,1,3,125.00
42.31968622,-71.11205827,Condominium,4,1,2,2,180.00
42.32134118,-71.10588596,Apartment,2,1,1,1,60.00
42.30596576,-71.1087761,Apartment,2,1,1,1,85.00
42.31021303,-71.10143683,Apartment,2,1.5,1,1,85.00
42.31378359,-71.11505148,House,2,1,1,1,64.00
42.31591116,-71.11275691,Apartment,12,2,4,5,725.00
42.29958779,-71.11178023,Condominium,2,1.5,1,1,75.00
42.29816033,-71.11153003,Apartment,4,1,2,2,119.00
42.30781578,-71.11674524,Apartment,4,1,1,2,110.00
42.31063085,-71.11184355,House,2,1,1,1,179.00
42.31005425,-71.10711519,Apartment,6,2,2,2,175.00
42.31643684,-71.10342312,Apartment,2,1,0,1,125.00
42.30692772,-71.10789386,Loft,4,1,2,4,220.00
